SHLAA Ref,Address,Area ha,_something_,Capacity,I&O RAG,Settlement Hierarchy,Green/Brown,Reason
1092,"St Ann's Lane - former Boston Exchange Diner), Leeds LS4 2SE",0.7,"",12,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
1172,"Yorkshire Bank Sports Ground (former), LS17",1.4,"",29,A,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
1299A,"Otley Road - Bodington Hall, Lawnswood  LS16",9.3,"",126,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
1339,"Calverley Lane, Horsforth - Clariant UK Ltd   LS18 4RP",18.8,"",331,P,Main Urban Area Extension,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3010A,"Land south east of Holt Park Leisure Centre, Holt Park, Leeds",1.1,"",52,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3151,"Queenshill Court, Moortown",0.6,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3184,"Former Dutton Arms (PH), Queenswood Drive",0.2,"",9,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3201,"The Former Lounge Cinema, North Lane, Headingley",0.2,"",12,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3207,"Rear 268-274 Shadwell Lane, LS17",0.3,"",8,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3215,"The Grove, North Lane, LS8",0.3,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3217,"232 Burley Road, LS4",0.3,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3301,"128 Wetherby Road, Roundhay, Leeds, LS8 2JZ",0.2,"",5,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
3341,LS8 2JJ,0.3,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4055,"Former Police Station, Broadway, Horsforth",0.4,"",12,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4058A,"Land at 116 Cardigan Road, Headingley",0.2,"",14,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4093,"Salmon Crescent / Stanhope Drive, Horsforth",0.2,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4177,"Park Cottages, Leeds 8",0.2,"",5,NonIO,Main Urban Area Extension,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4179,"19 Shire Oak Road, LS6",0.2,"",6,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4182,"St Anns Lane, LS4 2SE",0.3,"",13,NonIO,Main Urban Area Infill,Mix 60:40,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4184,"Belmont House, Wood Lane, LS6",0.5,"",6,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
4188,"Former Grosvenor Casino, Harrogate Rd and Street Lane",0.2,"",13,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
5102,"Headingley Halls Of Residence 54 - 56 Headingley Lane, Headingley, Leeds, LS6 2BP",0.3,"",39,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
5106,"Former Squirrel Way Children's Home, Squirrel Way, Leeds, LS17 8fq",0.7,"",60,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
5112,"Stratford Court, School Lane, Chapel Allerton",0.3,"",28,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
5125,SUMMERFIELD HO OUTWOOD LN HORSFORTH,0.2,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
5138,505 HARROGATE ROAD LS17,0.3,"",6,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2404860,83 Cardigan Lane LS4,0.1,"",22,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2404950,Eden Mount LS4,0.1,"",17,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2602780,25-7 Bennett Road LS6,0.1,"",8,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2603270,45 St Michael's Lane LS6,0.1,"",41,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2603310,1 North Grange Mount LS6,0.1,"",11,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2603760,"51 - 61 Otley Road And 3 - 9 North Lane, LS6",0.1,"",14,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2603920,"8 Holly Bank, Otley Road, Headingley, Leeds, LS6 4DJ",0.1,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2701370,Long Row Horsforth,0.2,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2701410,"Throstle Nest Villa, New Road Side",0.2,"",8,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2701470,"Low Fold Garage, New Road Side, Horsforth, Leeds",0.2,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA3002370,Sutherland Avenue LS8,0.2,"",8,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA3002600,468 Harrogate Road LS17,0.1,"",10,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA3002640,"467 Street Lane, Roundhay, Leeds",0,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA3402660,"321 Chapeltown Road, Chapeltown, Leeds, LS7 3LL",0.1,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2701430,"85 BROADGATE LANE, HORSFORTH, LEEDS, LS18",0.1,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA3402690,"3 Park Crescent, Roundhay, Leeds",0.1,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA2603820,"GRANBY STREET, HEADINGLEY, LEEDS, LS6",0,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
HLA3402640,"2 ST MARTIN'S ROAD, LEEDS, LS7 3LX",0.1,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
376,"Ring Road West Park, Silk Mill Way and Iveson DriveIveson Drive",24.4,"",485,LG,Main Urban Area Infill,Brownfield,Suitable site for residential and employment uses.  Site has outline planning permission from 2010 for mixed use development with 485 dwellings and offices (4950sqm)
626,Abbey Road - Kirkstall Forge  LS5,17.8,"",970,LG,Main Urban Area Infill,Brownfield,Site has planning permission for mixed use residential scheme.
16,"Sandhill Lane (29), Moortown  LS17 6AJ",0.4,"",10,G,Main Urban Area Infill,Brownfield,Mixed brownfield/greenfield site within urban area.  Suitable in principle for residential development.
37,"Vesper Road (land at), Kirkstall LS5 3NU",0.5,"",17,G,Main Urban Area Infill,Brownfield,"Brownfield site within urban area, suitable for residential development in principle."
81,"High Moor Court (land at rear),  High Moor Avenue, Moor Allerton",0.9,"",20,A,Main Urban Area Infill,Greenfield,Within the urban area. Residential use is acceptable in principle. Half the site to remain as green space.
118,The View (21/23) - Alwoodley  LS17 7NA,0.4,"",6,G,Main Urban Area Infill,Brownfield,Brownfield/greenfield site within the main urban area. The site has two properties on site currently.  Residential use acceptable in principle.
235,Clarence Road (land at) - Horsforth  LS18 4LB,0.7,"",25,G,Main Urban Area Infill,Brownfield,Site within the urban area. Suitable in principle for residential development.
1016,"Broadway and Calverley Lane, Horsforth",0.6,"",18,A,Main Urban Area Extension,Greenfield,"Green Belt site, adjoining the main urban area with strong links to Horsforth.  A main road borders the site to the west, residential development to the east and the education site to the south, so the site is well contained and development would not set a precedent for further sprawl."
1062,Horsforth (former waste water treatment work),3.1,"",53,A,Main Urban Area Extension,Greenfield,"Green Belt site. The site is contained by a main road to the north, the river to the south, residential to the west and the Kirkstall Forge site to the east, so relates well to the urban area and development would be well contained and not set a precedent for further Green Belt sprawl."
1178A,"Dunstarn Lane (land south), Adel  LS16",7.1,"",187,G,Main Urban Area Extension,Greenfield,Green Belt site. Development of the site could be considered to 'round off' the existing built up area. Access would need to be through adjacent site 687 which is a housing allocation on the existing UDP. Suitable in principle for residential.
1199,"Moseley Wood Gardens (land off), Cookridge  LS16",11.4,"",200,G,Main Urban Area Extension,Greenfield,"Protected Area of Search (PAS) site on existing UDP.  Most of the site falls within North Leeds area, but capacity and area have been split between Aireborough and North Leeds on a pro-rata basis.  The railway is considered to form a strong defensible boundary which would prevent further sprawl.  Capacity limited to 200 due to access constraints (split over two areas)."
1242,"Church Lane - Paddock, Meanwood  LS6",0.7,"",25,G,Main Urban Area Infill,Greenfield,Site is within the urban area and surrounded by residential uses. Residential development is acceptable in principle.
2049,West Park Centre  LS16,2.3,"",69,A,Main Urban Area Infill,Brownfield,"Former West Park Centre, within the urban area.  Residential development acceptable in principle as this is a brownfield site within a residential area."
2053B,"Alwoodley Lane, Alwoodley  LS17",13.4,"",285,A,Main Urban Area Extension,Greenfield,Green Belt site. Development of site B would constitute 'rounding off' of the existing settlement and is well related to the existing urban area.
2055,"Carr Manor, Meanwood  LS6",4.7,"",15,A,Main Urban Area Infill,Mix 70:30,"Site includes designated allotments (N1A) on existing UDP, and listed building. Conversion of listed building to residential is a possibility, but would need to maintain character of Carr Manor. Capacity revised down to 15 to reflect this."
3010B,"Land south east of Holt Park Leisure Centre, Holt Park, Leeds",0.8,"",28,G,Main Urban Area Infill,Brownfield,The site is part of the Holt Park design brief and has been identified as having potential for residential development. The site is contained by Ralph Thoresby School and Holt Park Active.
3376,"Off Weetwood Avenue, Headingley, Leeds",4,"",30,R,Main Urban Area Extension,Greenfield,"Green belt site. The site is well related to the urban area, bounded by residential development to the west and south and trees to the north and east. A large part of the site is designated as protected playing pitch (N6) on the UDP and is also in an urban green corridor and conservation area. The site is in private ownership and has not been in active playing field use for some years. Development of the site would have little or no impact on the purposes of green belt and it is separated from the major local area of green space, Meanwood Park, by a strong tree belt. In addition to meeting the housing target in North Leeds  development would help fund improvements at Headingley cricket and rugby ground the importance of which is recognised in the Core Strategy (para 4.7.10)"
3384,Brownberrie Lane,0.8,"",12,G,Main Urban Area Infill,Greenfield,Site within urban area.  Residential use acceptable in principle.
3457,Weetwood Manor,0.9,"",32,A,Main Urban Area Infill,Greenfield,Site within existing urban area where residential use is acceptable in principle. Highway concerns can be mitigated through access improvements.
4000,"Ralph Thoresby (Site F) Holt Park, Leeds",0.4,"",15,A,Main Urban Area Infill,Greenfield,Greenfield site within residential area. Suitable in principle for residential.
4021,"Horsforth Mills, Low Lane, Horsforth",0.7,"",89,A,Main Urban Area Infill,Brownfield,Brownfield site in residential area. Suitable for housing in principle.
4057,"St Joseph's, Outwood Lane, Horsforth",0.8,"",30,G,Main Urban Area Infill,Mix 50:50,Former care home (now demolished) in residential area. Acceptable in principle for housing.
4058B,"Land at Cockcroft House, Cardigan Road, Headingley",0.3,"",13,G,Main Urban Area Infill,Brownfield,Modern residential institution which could be redeveloped. Suitable in principle for residential.
4216,Eyrie Public House,0.4,"",14,NonIO,Main Urban Area Infill,Brownfield,Brownfield site in residential area. Suitable in principle for housing.
4217,Cookridge Fire Station,0.4,"",15,NonIO,Main Urban Area Infill,Brownfield,Brownfield site in residential area. In the the event that the fire station closes it would be suitable for housing. It has been identified for housing in the draft Planning Statement for Holt Park District Centre.
4233,"Farrar Lane, Adel",0.9,"",16,NonIO,Main Urban Area Infill,Brownfield,"This brownfield site is suitable for housing and is identified for housing in the draft Planning Statement for Holt Park District Centre.  Not all of the site should be developed for housing, an area will need to be retained for parking spaces to serve the district centre and adjoining greenspace. The existing bus stop should also be retained. Capacity has been reduced to reflect this."
4240,South of A65 from Horsforth & Rawdon RA to crematorium,34.4,"",717,NonIO,Main Urban Area Extension,Greenfield,Green Belt site. The site is relatively well contained with housing to the north and Ring Road to the east. The Clariant development prevents sprawl to the south. Development will allow infrastructure improvements including highway improvements and provision of a new school.
4246,"Woodbottom Mills, Low Hall Road, Horsforth",1.9,"",60,NonIO,Main Urban Area Extension,Brownfield,Cleared brownfield site next to the Clariant redevelopment. If site 4240 were to come forward (as proposed) the site would be further connected to housing. Although the site has permission for warehouse/ancillary offices this has not been implemented. Not in the green belt.
5009,Horsforth Campus,7.8,"",206,NonIO,Main Urban Area Extension,Mix 50:50,"Green Belt site. A significant portion of the site is brownfield (former Leeds City College buildings). The redevelopment of the College buildings for housing is acceptable under current policy. The site is well contained by the Ring Road, Swaine Wood and Horsforth Cemetery."
97,"Meanwood Road Working Mens Club, Meanwood Road",0.5,"",9,A,Main Urban Area Infill,Brownfield,A mixed use development would be appropriate given the sites town centre location. Potential for residential on upper floors.
3014,Kirkstall District Centre,3.6,"",55,A,Main Urban Area Infill,Brownfield,A mix of residential and commercial retail would be appropriate given town centre location. Residential could be in place on upper floors.
82,"Moor Allerton Gardens (1,2,3,4,5,6,8), Moor Allerton",0.5,"",17,G,Main Urban Area Infill,Brownfield,Site in existing residential use - fully developed
84,"Wetherby Road - Braim Wood School and land to the north, Rounday",20.1,"",527,NonIO,"",Mixed,""
94,"Sandhill Lane (7-9), Moortown  LS17 6AG",0.4,"",2,G,Main Urban Area Infill,Mixed,Northern part of site has permission for 2 detached houses (12/03734/FU). The rest of the site is too small to allocate.
120,"Harrogate Road (55), Chapel Allerton   LS7 3RU",0.6,"",40,A,Main Urban Area Infill,Brownfield,Site now bought by Morrisons. Very unlikely to come forward for housing. Retail or town centre uses appropriate.
177,"Broomfield (54/56), Adel  LS16 7AD",0.4,"",5,G,Main Urban Area Infill,Brownfield,Part of site (54 Broomfield) has permission for two dwellings. The rest of the site is too small to allocate.
1014,"Fraser Avenue (land at), Horsforth",1.2,"",45,R,Main Urban Area Infill,Greenfield,The site is designated as proposed greenspace (N5). Highway concerns re achieving a suitable access.
1015,"Lee Lane West (land south of), Horsforth",29.7,"",791,R,"",Greenfield,"Green Belt site.  The site has an important function in providing access to the countryside and views across the site to open countryside beyond.  It is  highly visible, with landscape value and a designated Local Nature Area within the site.  The site performs poorly in highways and accessibility terms."
1019,"Gledhow Valley Road (land off), Chapel Allerton, LS7 4ND",2,"",30,R,Main Urban Area Infill,Greenfield,Part of wider Gledhow Valley Woods. Significant tree cover.
1026,"Kirkstall Road, Cardigan Fields LS4",0.9,"",33,R,Main Urban Area Infill,Brownfield,A nightclub and an ALDI occupy the site. The site is not available.
1079,"Long Causeway, Adel  LS16 8DU",3.3,"",86,R,"",Greenfield,Green Belt site. Local preference for other sites to come forward for housing over this one.
1120,"Headingley Lane (land at), Headingley",2.3,"",36,A,Main Urban Area Infill,Greenfield,Land safeguaded for proposed NGT route.
1138,"Elmete Lane - land adj to Beechwood, Roundhay LS8",2.9,"",59,R,"",Greenfield,"Green Belt site. The site includes a number of Tree Preservation Orders (TPO's) and a listed building. Local preference for sites to the east of Roundhay Park (1190, 1138, 3315, 4013, 2063) to remain undeveloped and for Wetherby Road to act as a natural buffer."
1151,"Cookridge Lane , Cookridge  LS16",1.6,"",50,R,"",Greenfield,Green Belt site. There is no existing defensible boundary to the west. Development could set a precedent for further sprawl.
1170,"Highbury Cricket Ground, Meanwood, North East Hollins Drive",1,"",31,R,"",Greenfield,Green Belt site. The site is to be retained as greenspace.
1178B,"Dunstarn Lane (land south), Adel  LS16",5.9,"",280,R,"",Greenfield,Green Belt site. The site has been split into 2.  Site B slopes more steeply to the ring road and provides a buffer between the road and development and is more removed from the existing residential area.
1190,"Wetherby Road/Elmete Lane (land adjoining), Roundhay LS8",6.9,"",156,A,Main Urban Area Extension,Greenfield,"Green Belt site. Local preference for sites to the east of Roundhay Park (1190, 1138, 3315, 4013, 2063) to remain undeveloped and for Wetherby Road to act as a natural buffer."
1202,"Victoria Avenue (land off), Horsforth LS18",7.7,"",185,A,"",Greenfield,"Green Belt site. Local preference for the site to remain undeveloped and for the site immediately to the west (Horsforth Campus, 5009) to come forward instead."
1238,"Oakford Terrace (land to rear of), Low Lane, Horsforth  LS18",0.5,"",15,R,"",Greenfield,Green Belt site.  The site does not relate well to the existing settlement form but projects out to the east of Low Lane into Green Belt and is steeply sloping.  Development of the site would not constitute rounding off of the settlement.  The site is also designated as proposed greenspace.  Highway concerns as no road frontage to provide access.
1243,"Back Church Lane - former Rectory Paddock, Adel   LS16",0.6,"",18,R,"",Greenfield,"Green Belt site. This site was considered alongside 1079. Without 1079, 1243 is only partially connected to the built up area. Local preference for other sites to be developed for housing and for 1079 and 1243 to remain as Green Belt."
1246,"Back Church Lane - former Rectory Paddock north of Memorial Rec Ground, Adel   L",2.5,"",66,R,"",Greenfield,Green Belt site. The site would need to come forward alongside site 1079 in order to connect to the built up area. 1079 to remain as Green Belt.
1299B,"Otley Road - Bodington Hall, Lawnswood  LS16",17.4,"",521,R,Main Urban Area Infill,Greenfield,Local preference for the site to be carried forward as proposed greenspace (there is also a possibility for park and ride on the site).
1310,"Outwood Lane (land at) , Horsforth, LS18",3.4,"",121,R,Main Urban Area Infill,Greenfield,Site not supported by highways.
2046,"Brownberrie Gardens - North Ives Farm, Horsforth  LS18",14.6,"",383,R,"",Greenfield,Green Belt site. The site lies within the airport public safety zone and is not supported by Highways.
2051A,"King Lane, Alwoodley  LS17",116.3,"",0,R,"",Greenfield,"Green Belt site.  Development of the site would lead to a significant incursion into the Green Belt creating unrestricted sprawl.  Highways concerns re. poor accessibility, access and local network capacity."
2051B,"King Lane, Alwoodley  LS17",20.3,"",0,R,"",Greenfield,"Green Belt site.  Development of the site would lead to a significant incursion into the Green Belt creating unrestricted sprawl.  Highways concerns re. poor accessibility, access and local network capacity."
2052,"Tile Lane, Adel  LS16",17.2,"",451,R,"",Greenfield,Green Belt site. Part of urban green corridor with no defensible boundary to the south.
2053A,"Alwoodley Lane, Alwoodley  LS17",5.9,"",154,R,"",Greenfield,"Green Belt site. Site A is unrelated to the existing settlement, is nearer to Eccup Reservoir and would create an incursion into Green Belt that could set a precedent for further sprawl."
2058,"Talbot Avenue - Allerton Grange High, Moor Allerton  LS17",2,"",70,R,Main Urban Area Infill,Greenfield,Local preference for the site to be retained as greenspace.
2063,"Cobble Hall, Roundhay  LS8",19,"",500,A,"",Greenfield,"Green Belt site. Local preference to not bring forward sites to the east of Roundhay Park (1190, 1138, 3315, 4013, 2063) and for Wetherby Road to remain as a natural buffer."
2160,"Scotland Lane, Ling Bob, Horsforth",72.9,"",0,R,"",Mixed,Green Belt site. The site is not supported by Highways and development would lead to urban sprawl.
3008,Change of use of former caravan site to public open space,2.9,"",47,R,"",Greenfield,"Green Belt site. Isolated site. Development would represent an island of development within Green Belt, unrelated to the existing urban area. Not supported by Highways."
3016,Low Hall Farm,0.5,"",15,P,"",Brownfield,Sieved out as the site does not comply with the settlement hierarchy.
3034,"Cold Harbour Farm, Bayton Lane, Yeadon",74.6,"",0,R,"",Greenfield,"Green Belt site. The site covers the area commonly known as Rawdon Billings and envelopes Billing Hill, a protected nature area. The site is large and development would have a serious impact on the openness of the Green Belt and result in a large area of urban sprawl. The site is not supported by Highways."
3044A,"Land North of Pinfold Lane, Cookridge",5.6,"",148,R,"",Greenfield,Green Belt site. The site is not well related to the to the existing settlement form and development would represent a significant incursion into Green Belt which could set a percedent for further unrestricted sprawl.
3044B,"Land South of Pinfold Lane, Cookridge",6.9,"",181,R,"",Greenfield,Green Belt site. The site is not well related to the to the existing settlement form and development would represent a significant incursion into Green Belt which could set a percedent for further unrestricted sprawl.
3315A,Beechwood Farm (south) Elmete Lane Roundhay,15.8,"",351,A,Main Urban Area Extension,Greenfield,"Green Belt site. Development is contingent on site 1190 being brought forward. Local preference for sites to the east of Roundhay Park (1190, 1138, 3315, 4013, 2063) to remain undeveloped and for Wetherby Road to act as a natural buffer."
3315B,Beechwood Farm (north) Elmete Lane Roundhay,17.9,"",235,A,Main Urban Area Extension,Greenfield,"Green Belt site. Development is contingent on site 1190 being brought forward. Local preference for sites to the east of Roundhay Park (1190, 1138, 3315, 4013, 2063) to remain undeveloped and for Wetherby Road to act as a natural buffer."
3327,"Land at Rawdon, Leeds",2.2,"",58,R,"",Greenfield,"Green Belt site. The site is set to the west of Bayton Lane, relatively remote from the centre of Horsforth.  The site itself is relatively contained on all sides by the road and existing residential development, but development would further reduce the Green Belt gap between residential areas.  Highway concerns regarding access."
3328,"Land at Rawdon, Leeds",5.1,"",133,R,"",Greenfield,"Green Belt site.  Development would result in the coalescence of Rawdon and Horsforth, contrary to one of the purposes of Green Belts in preventing the merging of settlements."
3330,"Land at Rawdon, Leeds",1.5,"",47,R,"",Greenfield,"Green Belt site. The site is set to the west of West End Lane which is the current boundary to Horsforth. Development here would be unrelated to the existing settlement pattern, encroach into the Green Belt and reduce the gap between settlements (Horsforth and Rawdon) contrary to one of the purposes of Green Belts in preventing the merging of settlements.  Highway concerns regarding suitable access and accessibility."
3360A,Cookridge Hall Golf Course (S),"","",1550,NonIO,"",Mixed,Green Belt site. There is no defensible boundary to the proposed GB boundary which could set a precedent for further unrestricted sprawl. Highway concerns regarding access and accessibility
3381,Brownberrie Lane,1.3,"",35,R,"",Brownfield,Part of the site is within Green Belt (30%). Part of the site is also a Local Nature Area (LNA).  The remaining area is occupied by existing dwellings.  This area alone would be too small to be allocated.   Highway concerns regarding access.
3402,Clayton Wood Bank,1,"",30,R,Main Urban Area Infill,Brownfield,"Existing employment site, surrounded by other employment uses and Clayton Wood.  Therefore considered inappropriate for residential."
4013,"Land at Elmete Lane, Roundhay",1.5,"",46,A,Main Urban Area Extension,Mix 60:40,"Green Belt site. Local preference for sites to the east of Roundhay Park (1190, 1138, 3315, 4013, 2063) to remain undeveloped and for Wetherby Road to act as a natural buffer."
4056,"Church Lane, Horsforth",0.7,"",23,G,Main Urban Area Infill,Brownfield,Required for education purposes. Not available for residential development.
4092,"St Ann's Mills, Kirkstall Road",0.9,"",28,R,Main Urban Area Infill,Brownfield,Current employment site that has been highlighted as necessary to retain.
4094,South of Fearnville Place,7.5,"",198,R,Main Urban Area Infill,Greenfield,Designated greenspace (N1) and allotments (N1A).  Even if some of this wider green space were necessary for housing this site is poorly situated and would encroach greatly into its corridor function. Site boundary includes stretch of Wyke beck itself.
4157,"Land east of Sadler Way, Adel",4.7,"",123,NonIO,"",Greenfield,Green Belt site. The site straddles the urban green corridor and does not relate well to the settlement pattern. The site is designated N6 greenspace.
4158,"Meadow View, Horsforth",0.9,"",27,NonIO,"",Greenfield,Green Belt site in urban green corridor. The site is not connected to the built up area and includes a number of mature trees.
4172,"University Land, Lawnswood",6.3,"",189,NonIO,Main Urban Area Infill,Greenfield,Deficiency in outdoor sports provision in the area.  Playing pitches would need to be relocated.  Possibility of cemetery extension into part of site and NGT route may affect part of site.
4215,Land between Holtdale Grove/Holtdale Ave,0.7,"",25,NonIO,Main Urban Area Infill,Greenfield,The site performs an amenity function and setting for nearby houses within the Holt Park housing estate. Redevelopment for residential use is not supported.
4232,"Lawnswood Arms, Holt Lane, Adel",0.8,"",0,NonIO,Main Urban Area Infill,Brownfield,"Whilst this is a brownfield site, so could be considered suitable for residential use in principle, it is in existing use as a public house and the owners have not submitted the site (rather it was suggested by the public).  As such, the site is not considered available."
4239,"Holly Park Estate Extension, Water Lane, Horsforth",1.1,"",35,NonIO,"",Greenfield,Green Belt site not supported by Highways.
4244,"West End Lane, Horsforth",0.6,"",22,NonIO,Main Urban Area Infill,Greenfield,Landlocked site requiring the purchase and demolition of a neighbouring property to achieve access. The Council is not aware of a property being available.
4247,Northern End of Lee Lane West,3.5,"",91,NonIO,"",Brownfield,Green Belt site. Majority of site is a new outdoor pitch and unsuitable for development. Poor access to site.
4255,"Calverley Lane, Horsforth",3.6,"",95,NonIO,"",Greenfield,Green Belt site. Concern regarding overdevelopment in the area if the site were to come forward alongside 1339 and 4240. The site is not locally preferable compared to other sites.
71,"Thorp Arch Grange, Walton Road, Thorp Arch",0.4,"",14,LG,Other Rural Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
90,"Church Lane (27) - St Vincents School,  Boston Spa",0.5,"",13,LG,Smaller Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
103,Moor End (7-14) - Boston Spa  LS23 6ER,0.6,"",9,LG,Smaller Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
757,Harewood Village Farm,1.2,"",18,LG,Other Rural Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
777,"Churchfields, Boston Spa",8.6,"",170,LG,Smaller Settlement Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
778,"Bowcliffe Road - Bramham House, Bramham",2.1,"",30,LG,Smaller Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
780,"First Avenue, Bardsey",0.6,"",5,P,Smaller Settlement Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
783,"Bowcliffe Road Timber Yard, Bramham",0.9,"",14,G,Smaller Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
785,"Syke Lane/Moses Syke, Scarcroft",0.7,"",11,LG,Other Rural Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
786,Aberford Road - Bramham Lodge,0.9,"",11,LG,Smaller Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
787,"Linton Springs, Sicklinghall Road, Linton",0.5,"",16,LG,Other Rural Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
793,"Linton Road - Raintree Lodge, Wetherby",0.5,"",4,LG,Major Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
797,East Leeds Extension,204.5,"",675,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
798,"Station Road (37-51), Scholes",0.7,"",1,LG,Smaller Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted
